1	В каком году произошло призвание Рюрика на престол?	D	1
2	Год созвания первого Земского Собора?	D	27
3	Какое событие произошло 14 декабря 1825 года?	E	80
4	Когда произошло Бородинское сражение?	D	75
5	В каком году Петр Первый объявляет себя Императором России?	D	56
6	Какая война происходила с 1700 по 1721 года?	E	50
7	В каком году произошел Медный Бунт в Москве?	D	45
8	При Иване 4 начинается новый режим в стране (1565-1572) назовите его.	E	33
9	В каком году в Москве был Соляной бунт?	D	41
10	В каком году Земский собор избрал на царствование Романовых?	D	39
11	Какое известное восстание потрясло Россию в 1667 году? 	E	47
12	В каком году был подписан Тильзитский мир?	D	71
13	В каком году произошла Куликовская битва?	D	22
14	Чье правление длится с 1801 по 1825 года?	E	64
15	Годы правления Александра 2?	D	86
16	В каком году был принят указ “О вольных хлебопашцах”	D	67
17	В каком году принята Русская правда?	D	10
18	Кто вступил на пост президента России в 2000 году?	E	136
19	В каком году вооруженные силы РФ были введены в Чечню для наведения конституционного порядка?	D	131
20	Кто стал автором реформы 1553 года? Именно она стала причиной церковного раскола.	E	42
21	В каком году был убит царевич Дмитрий?	D	34
22	Как называется период Российской истории 1603-1613?	E	35
23	В каком году произошла Невская битва?	D	20
24	В каком году Иван 4 объявляет ссебя царем?	D	25
25	Год крещения Руси	D	9
